_id,StatisticCrimeGroup,StatisticCrimeType,Crime,Excluded
1,לא ידוע,לא ידוע,לא ידוע,
2,לא ידוע,לא ידוע,לא ידוע,
3,לא ידוע,לא ידוע,לא ידוע,
4,לא ידוע,לא ידוע,שימוש בטלפון בעת שהרכב נע שלא באמצעות מיקרופון המו,
5,לא ידוע,לא ידוע,שליחת או קריאת מסרון,
6,סעיפי הגדרה,סעיפי הגדרה,איסור אחסון הובלה והפצה של תרופות במבנה ובציוד לא,
7,סעיפי הגדרה,סעיפי הגדרה,"איסור אחסון, הובלה והפצה אלא באמצעות בית מסחר לתרו",
8,סעיפי הגדרה,סעיפי הגדרה,"איסור איחסון, הובלה או הפצת תרופות בתנאים לא נאותי",
9,סעיפי הגדרה,סעיפי הגדרה,איסור הפעלת בית מסחר לתרופות ללא רוקח אחראי,
10,סעיפי הגדרה,סעיפי הגדרה,איסור ייצור וייבוא תכשירים בניגוד לאישור המנהל,
11,סעיפי הגדרה,סעיפי הגדרה,"איסור ייצור, אחסון, הובלה או הפצה של חומרי גלם פעי",
12,סעיפי הגדרה,סעיפי הגדרה,איסור לייבא ולשווק תכשיר תואם ללא אישור מנהל,
13,סעיפי הגדרה,סעיפי הגדרה,איסור לקבל תרופות מגוף שאינו בית מסחר אחר לתרופות,
14,סעיפי הגדרה,סעיפי הגדרה,איסור מכירת תכשיר ללא מרשם בניגוד להוראות שקבע שר,
15,סעיפי הגדרה,סעיפי הגדרה,"איסור מכירת תכשיר מרשם אלא ע""י רוקח",
16,סעיפי הגדרה,סעיפי הגדרה,איסור שיווק בסיטונאות למוסד שאינו בית מסחר לתרופות,
17,סעיפי הגדרה,סעיפי הגדרה,איסור שיווק סיטונאי של תרופות למוסד שאינו בית מסחר,
18,סעיפי הגדרה,סעיפי הגדרה,האחריות של המייעץ,
19,סעיפי הגדרה,סעיפי הגדרה,המסייע לביצוע עבירה,
20,סעיפי הגדרה,סעיפי הגדרה,המסייע לביצוע עבירה,
21,סעיפי הגדרה,סעיפי הגדרה,התחייבות הנדון להמנע מעבירה,
22,סעיפי הגדרה,סעיפי הגדרה,לא יכנס אדם ולא יצא מישראל אלא בתחנות הגבול,
23,סעיפי הגדרה,סעיפי הגדרה,מאסר על אי מתן התחייבות,
24,סעיפי הגדרה,סעיפי הגדרה,מאסר שאין כנגדו קנס,
25,סעיפי הגדרה,סעיפי הגדרה,מאסר שאין כנגדו קנס,
